id	origin	content	label
eba94545-0896-4829-af38-e24a4a051516	pudelek	Od kilku tygodni się nie rozstają	1
57e05749-f7ab-44ac-bd09-3c8ecea06135	wikinews	Mundial 2006: Brazylia 3-0 Ghana	0
d05bc4b0-ded9-42a3-81cc-2664c3af5cf2	other	Dramat w kopalni Bielszowice. Premier zabrał głos	0
51970478-87b0-4024-bfec-d6425c0b1b5a	wikinews	Powstała encyklopedia wolnych gier oparta na silniku Wiki	0
5203b253-ed29-4727-b685-05eba390a808	pudelek	Margaret w sandałach na obcasie i skarpetach...	1
1d42ccb0-3fea-4d59-b836-196810502f6d	pudelek	Pirógowi grozi gorset ortopedyczny!	1
632c68df-75a5-4769-b28f-d5d38e387ff8	wikinews	Trzeci dzień walki z pożarami w San Diego w Kalifornii	0
6e7bc520-dee2-446d-9878-e59c11edd13a	o2	Żałoba w Hollywood. Poruszające ostatnie słowa aktora	1
c7ecc1f4-365f-4517-a075-8b434d922411	wp-wiadomosci	Dramatyczne krzyki przy granicy. To błąkają się krewni "zakładników Łukaszenki"	1
b46c3c48-458b-48c9-a268-10f0da47c710	pudelek	Reese Witherspoon i Jennifer Hudson na balu Tiffany'ego	1
1d7573a2-187c-4af5-a1c9-2f1319f686dc	wikinews	Poznań: powrót operetki „Księżniczka Czardasza” na deski Teatru Muzycznego	0
9e446db3-2842-4f64-95c9-9bd3c9480068	wikinews	Wyniki wyborów parlamentarnych w lubuskim	0
d889d1f0-58d3-468c-908d-862731acf355	tabletowo	Niespodziewany gest Microsoftu – klienci będą wniebowzięci!	1
34df9f14-cdec-4cc0-8bb4-e1d58225b6fd	space24	Ocena skali pożaru w Biebrzańskim Parku Narodowym. Pomocne dane satelitarne	1
aee1c5a7-5805-4c7f-b815-c08c82edf2ae	naukawpolsce	Prof. Szmyt laureatem Nagrody im. Tadeusza Kotarbińskiego	0
444597f6-2b48-40b3-9941-8613ab527084	pudelek	Shakira wróciła do CZERWONYCH włosów 	1
66453dbc-a4ec-4428-b365-c4bb29a6993c	wyborcza	Rosyjski wywiad włamał się do poczty gen. Skrzypczaka. Wykradł analizę nt. możliwego ataku Rosji na Polskę	0
a4c5fc1a-2f65-4ab3-a13f-3b45513f08db	wp-wiadomosci	Monika Olejnik o Kamilu Durczoku. Pożegnanie na antenie TVN24	1
c59069eb-360e-4003-94e6-04addd2c810a	tabletowo	Nie będzie różnicy, czy kupisz Galaxy Z Flip 4, czy Galaxy Z Flip 3	0
571624dd-1043-4819-b711-add2c75f71eb	other	Warszawa. Mężczyzna napastował 12-latkę w niemal pustym autobusie	0
58803809-659e-486a-91b7-bb3a6fa9bfb9	wikinews	Johan Van Summeren wygrał 64. Tour de Pologne	0
2ed1e60a-f89f-483c-99af-fcef7f7e7b1a	wyborcza	Przepłacone respiratory na polecenie premiera. Wiemy, co NIK napisała do prokuratury	1
72b234fc-9e56-4a2d-a905-f677331a56fd	naukawpolsce	Spożywanie białka z wielu źródeł może obniżać ryzyko nadciśnienia tętniczego	0
1ded4d2b-04b7-4b40-ad03-358cfab2ae31	pudelek	Eurowizja 2021. Rafał Brzozowski OSTATNI do zwycięstwa? Komentujący nie mają złudzeń: "Wszystko jest wymuszone, CZUĆ DUŻO FAŁSZU"	1
fd6d4dc1-e50d-438c-9cd4-8cf6ec583dd8	wikinews	Ukraina kredytem bankowym zapłaci za gaz	0
5c05bfc4-7777-489f-aeff-d3b7791c32a6	wikinews	Kolarstwo: Danilo Hondo zawieszony za doping	0
8487a3a0-1f35-4a9c-872a-df388381ec56	wyborcza	Zmarła Karolina Kaczorowska, żona ostatniego Prezydenta Rzeczypospolitej na Uchodźstwie	0
fb63bfe1-dd2b-4ce2-b468-73cfa09c83a5	wikinews	Zakończył się XXIII Festiwal Śpiewających Przedszkolaków	0
400df5c3-e91f-4476-ac57-3a58edb92775	wikinews	Polska przegrała w tie-breaku finał siatkarskiego turnieju w Halle	0
6f5265cb-98cb-43b6-b48e-2f681cc07bdc	other	Konsekwencje skandalu w policji. Oficer elitarnej jednostki zawieszony	0
56c88ffe-4116-45ce-a792-08d8587d85cf	pudelek	Kurski znalazł DODATKOWE PIENIĄDZE na "Koronę Królów"! "Okazał się łaskawy i dosypał grosza"	1
13cc0866-0cb9-495b-be06-6da14b71c879	pudelek	Kendall Jenner musi zapłacić 90 TYSIĘCY DOLARÓW kary za promowanie Fyre Festival!	1
bffaa55c-44da-46ca-8229-fd6d9e43d54b	other	Luksus to mało powiedziane. Cena hotelu zwala z nóg	1
75c41665-cb5d-42c2-96c3-e9b66a2d3dee	other	Silnie wieje, w porywach do 100 km/godz. Awarie prądu w Kujawsko-Pomorskiem, powalone drzewa w Toruniu	0
c6d33d82-5ee6-42bf-b2c5-8100e26e99f3	pudelek	Dagmara Kaźmierska ma już pomysł na pracę w Egipcie. "Nie umiem tak, żeby hajs nie leciał"	1
5a8797bb-8322-4f0b-bb3b-d3149e80fa9e	space24	Izraelski lądownik nie przetrwał spotkania z Księżycem	0
a0aa6888-6f07-4d7d-9e9c-9f0cda058807	pudelek	Natalia Siwiec jako JEDNOROŻEC dokazuje z "księżniczką" Mią... 	1
6abceea3-f1d4-4c4a-83cd-8582c56b53db	wikinews	Piętnasta rocznica śmierci świętego Jana Pawła II	0
6c764cca-76d7-46ca-b5a4-a1de77bf197f	pudelek	Komornik pojawił się z kartonami w butiku Jemioła! "Zalega z płatnościami wykonawcom z Łodzi" (TYLKO U NAS)	1
63f33f7c-c65e-446d-9d8c-470fe8d3f99d	o2	Tropili skradzione kampery. To, co odkryli, przerosło najśmielsze oczekiwania	1
f8a6fb56-e01d-4cbd-961f-46969ec67c21	o2	Gimnazjalista obejrzał 5 minut zakazanego filmu. Wstrząsające, co zrobił Kim Dzong Un.	1
323bfb5f-1bd2-49c8-8445-b3406a3a116a	pudelek	Pokochałam reżyserię mocniej niż aktorstwo	1
05840f38-38cf-434a-b4cc-75883abe5fca	other	Spore zaskoczenie. Co prowadzi do niepłodności?	1
19818cdf-915f-4799-8c42-64b402c1130d	pudelek	To już koniec "Samej słodyczy"!	1
6276ae75-2d7d-4a6c-b8c1-c9ad26cbf625	pudelek	Jestem SKĄPA, mam problem z wydawaniem pieniędzy na zbytki!	1
189e48f1-335f-48ba-85cf-216f61fb4abb	wyborcza	Niemiecka flaga oraz portret Tuska spalone na mającym status państwowy Marszu Niepodległości	0
1b198991-a04c-44ca-ae86-c0c681b8772e	wikinews	Open'er 2010: „I Feel Better” przy chasydzkiej alternatywie – trzeci dzień imprezy	0
b775ccf4-d713-48f4-8563-ca72b7ab0e9e	wyborcza	Dudka złamał nogę?	1
a848583c-8ae9-4e66-8994-cc0886021c70	pudelek	Naturalna Dua Lipa stroi miny na meksykańskich wakacjach z Anwarem Hadidem 	1
88750a68-44cf-4fe1-95a5-5dd844e97a03	tabletowo	Tablet od „pogromców flagowców” w produkcji. Wyciekła specyfikacja	0
1a7910b0-d1bf-437b-819f-898dddd4eac7	naukawpolsce	Możliwa jest ultradźwiękowa terapia cukrzycy	0
31bb875d-cfa7-4234-919a-c673fc576e09	wyborcza	Fotografowała dzieci uchodźców z Michałowa. "Gdybym tylko wiedziała, że je wywiozą..."	1
171a181b-c306-469b-90bb-0716a4319131	pudelek	TYLKO U NAS: Fotoreporterzy oskarżają największe polskie gwiazdy o kradzież. To początek "wojny"?	1
b54069ff-deb5-42a2-b460-56c8b9d4f92c	o2	W TVN24 nie mają złudzeń. W studiu zapadła krępująca cisza	1
1d181b30-6843-44ac-ad88-03e442164d1b	wikinews	W wyborach do francuskiego Zgromadzenia Narodowego wygrała prawica	0
c2140d6c-d203-4b3c-a7d5-e04a4774a5e6	wikinews	New York Times: Możliwe kolejne ataki terrorystyczne około 11 września	0
3dfa5012-c071-46c2-b963-2d3cc5db1271	pudelek	Bandyci POSTRZELILI mężczyznę, który wyprowadzał psy Lady Gagi i PORWALI jej dwa buldożki (ZDJĘCIA)	1
2226aa1e-4580-43b9-91a5-05597d6654cf	wikinews	Białoruś: Służby porządkowe rozpędziły manifestację przedsiębiorców	0
685b012c-cf8e-43b9-8879-6e25224f5309	pudelek	Wróci do Polski dla Sebastiana?	1
ba8576cb-cfe8-41b4-8ec6-7d37efc9c893	pudelek	Victoria w krótkiej sukience	1
f92ed287-50d5-4fdf-90de-65ced3268d7b	wikinews	Widzewska Galeria Ekslibrisu z Łodzi 13 października 2015 r. obchodziła 25-lecie działania	0
bdbf966a-fddc-4c8e-bd8b-22cff46ca49a	wikinews	Budapeszt: Blair rozmawia o budżecie Unii Europejskiej	0
4d244b29-2785-4cea-9c57-605c1522d54d	space24	Ekspert think tanku CSIS: USA nadal niegotowe na wzmożoną rywalizację w kosmosie	0
1edb3503-0ec9-4c91-97f9-cff17efa0b1c	space24	Uzyskano tlen z marsjańskiego CO2. Nowy kamień milowy misji Perseverance	0
ba81ecd8-dd09-46db-815a-d1102acfdacc	wyborcza	W Częstochowie proces mafii śmieciowej rozpocznie się później. Wśród oskarżonych jest były wójt spod Kielc	1
cd3939e0-699b-4dec-b5b4-d0d1a6208502	pudelek	Emma Corrin zdradza, że ludzie MDLELI NA WIDOK jej matki, bo była tak podobna do księżnej Diany!	1
ce0af4b2-cf80-4723-99c5-15e19431f2bc	other	Tragedia nad jeziorem. Mężczyzna spłonął w przyczepie kempingowej	0
a9b94e6c-44bb-4d16-ac2c-3daf61e58a1c	wyborcza	Czy „białe miasteczko” zostanie zlikwidowane?	1
d1c927e7-d480-4262-8f8e-d58586012fc0	wikinews	Ostateczna odmowa rejestracji domeny .xxx	0
18c684a0-68ba-4ba2-8bd6-64869b93891e	naukawpolsce	Rekrutacja na MBA z zarządzania lasami	0
3e7ca9a8-bfec-44d1-b5ac-82094ac13707	pudelek	Joanna Jarmołowicz szaleje w klubie z tajemniczym brunetem	1
487c3b1b-24b1-4f65-add2-603daf07cc3e	wyborcza	Arcybiskup Henryk Hoser nie żyje. "Zmarł po długiej i ciężkiej chorobie"	0
4bdec3fa-12f9-41a2-9eee-955be209d10f	space24	Ukraińska ścieżka współpracy NCBR. Wymiana wiedzy i wspólne inicjatywy	0
cfc1345b-d761-426d-92bf-ba7bec787339	wyborcza	Czwarta fala pandemii i omikron - nowy wariant COVID-19. Konferencja prasowa premiera Morawieckiego	0
eda181ac-282d-4a2d-b38a-69a89bc9db5b	wikinews	Lekarz Witold N. został zatrzymany	0
15172370-dacb-4602-bfb5-026263a97962	pudelek	TVP ODMAWIA KOMENTARZA w sprawie występu Joanny Moro w Sopocie	1
c291cee4-eae1-4d49-98bf-c1241945c1cd	wyborcza	Ostatnia misja latającej fortecy. Naukowcy i specjaliści z Departamentu Obrony USA znaleźli szczątki zestrzelonego bombowca	1
0c32f24d-a1a9-4254-aa4a-f0602a012ad9	naukawpolsce	Seksuolog: 44 proc. Polaków rozmawia otwarcie o swoim związku z partnerem/partnerką	0
954159ef-1039-42e9-ae0b-b70943939d09	pudelek	Rihanna BEZ MAKIJAŻU w nowym teledysku!	1
b4198384-038a-43a8-8560-9fadc38e151e	wikinews	Sowińska: seks tylko dla dorosłych?	0
4dd1eb14-7c03-4aeb-9fc1-8bde869b5325	wikinews	Lech Kaczyński zakończył wizytę na Litwę	0
e4bae782-a474-472a-ae6e-8a717c4a7c9a	wikinews	20 lutego 2015 roku trzy stacje metra w Warszawie otrzymały pozwolenie na użytkowanie	0
6dd1e193-fa00-4c97-9630-4027e540d19c	o2	Były biskup bierze ślub. Jego wybranka pisze książki o szatanie	1
bf79b916-2c68-403e-9ce3-12824788dbbb	pudelek	Dziś 10. rocznica śmierci Ciechowskiego! 	1
8b05525f-9409-4033-9da5-61d31a2e52fd	wikinews	Niemcy: Strajk ostrzegawczy kolejarzy	0
475dc934-0b3e-4a2c-9d47-6c2ebe7aaa8e	o2	Wtorkowa liczba zakażeń. Przerażające wieści z Ministerstwa Zdrowia	1
1eda5be0-f943-4140-9b36-dbf41ab9281e	o2	Gwiazdor nagle wybuchł płaczem na scenie. Maleńki synek zmarł na raka	1
b40dba10-9c9c-45d4-91c3-bc386e241896	wyborcza	Będzie obniżka VAT na prąd i gaz. Rząd chce zastąpić Glapińskiego	1
56acd351-9afc-4645-b19f-391f806df72a	pudelek	Dagmara z "Królowych Życia" zaczepia Majdanów na Instagramie: "Pan domu musi się pogodzić z porażką!"	1
66eb69ba-6d0e-4fb1-afe0-99b21cbd96da	wikinews	Siergiej Sirotkin drugim kierowcą Williamsa, Robert Kubica kierowcą rezerwowym	0
9943f19c-9110-4066-8bee-3a69228294e7	pudelek	Modelka plus size PO RAZ PIERWSZY na okładce "Vogue Polska"! Internauci: "Wyszła NUDA" 	1
864ba904-e879-425e-a4d5-a650f99315a1	wpwiadomosci	Mateusz Morawiecki: wystąpiliśmy do Komisji Europejskiej o środki dla uchodźców	0
