id	origin	content
feb95acb-f517-4248-85d2-198103417c6d	o2	Nagi prokurator spacerował po Świdnicy. Taką dostał karę.
fdcc8911-39f4-4e41-8b77-fd2320a6b90d	wyborcza	Poseł opozycji o podwyżkach mandatów: "Ziobryzm w czystej postaci"
fd635780-065c-490f-9752-a0bdf2cd5121	pudelek	Boczarska wygryzła Włodarczyk! "Przegrana była dla niej niezłym szokiem"
fbf23908-ce10-458d-ba63-3a590e61ee9f	wyborcza	Wybory 2005: Lepper na Kaczyńskiego, Bochniarz na Tuska, a SLD na nikogo
faa43502-6cb3-4145-8a63-bbc95aba34b4	pudelek	Roksana Węgiel zaskoczyła fanów. Nastoletnia gwiazda wbiła szpilę Edycie Górniak?
fa5271b5-7bed-4749-8fa7-35a3edce670c	tabletowo	40 GB GDDR6 w Xboxie?!
fa400b82-a5b6-4da2-9c54-8b19f12d2e3b	pudelek	Maffashion starała się o rolę Julii Wieniawy w horrorze "Wszyscy moi przyjaciele nie żyją"! "NIE PRZYJĘLI MNIE"
f985b534-5757-4b4a-ab0f-704f585dcaf4	pudelek	Żona Johnny'ego Deppa popłakała się po wyjściu z sądu!
f974a304-2e22-4529-90df-560c8595a61e	strefaagro	Tyle dostaniesz za pracę w rolnictwie i ogrodnictwie. Kogo szukają gospodarstwa?
f92be8a1-2b82-4fa0-8936-1d3577ad6515	o2	Elżbieta II zdetronizowana. Ten kraj właśnie stał się republiką
f8d9e2be-fc86-4e98-b009-791def76c267	other	Debata Strajku Kobiet na temat wolnych mediów. Zainteresowanie policji... robi wrażenie
f8ba9762-7f9c-4442-941b-6bd96549b390	wyborcza	11 listopada kobiety staną twarzą w twarz z narodowcami. "Oddaliśmy to piękne święto neofaszystom"
f8a6fb56-e01d-4cbd-961f-46969ec67c21	o2	Gimnazjalista obejrzał 5 minut zakazanego filmu. Wstrząsające, co zrobił Kim Dzong Un.
f80c6bd8-1739-4dce-b312-aae329ed118d	pudelek	Ula Chincz chwali się efektami ciążowej sesji. Fani: "Wyglądasz jak KSIĘŻNA DIANA"
f7d6bc16-fa4e-48a2-a7a4-1246f2f11684	wyborcza	Hakerzy kontra sąd. Testowali bezpieczeństwo, ale trafili za kratki
f68929e7-41bd-4dcb-8823-215e8475635f	pudelek	Natasza Urbańska prezentuje "kaloryfer" i przybrudzone zelówki przed Studiem Buffo 
f655de52-52bd-415f-b620-c7627cd39f15	o2	Zdjęcia obiegły sieć. Chińczycy odkryli na Księżycu coś dziwnego.
f616c50b-20e3-4576-afe6-abf48dbbdf02	o2	Wariant Omikron dotarł do Europy. Niepokojące wieści dla narciarzy.
f5b83fc7-cb9b-4c2c-8db5-1f1a1807bd5b	wyborcza	Kto ma szansę na karierę za "dobrej zmiany". Awans sędziego za podpis?
f5861d6e-f242-41f6-8d0c-bd983b3e82fa	space24	Wyjątkowy zapis wideo z lądowania misji NASA Perseverance.
f497421a-9977-458d-b995-83221dc2f936	pudelek	Te gwiazdy nie zamierzają OCHRZCIĆ swoich dzieci: Małgorzata Rozenek, Zofia Zborowska, Magda Mołek... (ZDJĘCIA)
f2bf371e-9ff7-4e17-b70f-975ca3489551	pudelek	Ciacho Tygodnia: Surfujący model Marlon Teixeira (DUŻO ZDJĘĆ)
f2b10a76-dd12-453a-ba91-0c1f9a501cb6	wpwiadomosci	Rocznica wejścia Polski do Unii Europejskiej. Tusk o Ziobrze: pozbyć się tego szkodnika
f220d6ad-18b0-4fdd-a29e-cbbdcb69da15	o2	Matka ostrzega rodziców. Mówi co COVID-19 zrobił 3-letniej Angelinie
f1d9aabe-d1f8-4cdf-8cbb-0b3f21f4e264	wyborcza	Wchodzisz do metra bez maseczki, a tam policja. "Największe kontrole od początku pandemii"
ef184c60-54dd-4371-bb53-95db56a096fa	pudelek	Wiosenna Aneta Zając eksponuje odchudzoną sylwetkę. Obserwujący w szoku: "PETARDA"
edc6368f-5a12-4618-bb41-b8130773ffda	pudelek	Moje ciało jest chyba okej… Nie lubię swoich ud i brzucha
d90539af-a1c2-4896-b328-fafa26d4fbc6	o2	Hańba w Londynie. Skandaliczne odkrycie w telefonach policjantów
d889d1f0-58d3-468c-908d-862731acf355	tabletowo	Niespodziewany gest Microsoftu – klienci będą wniebowzięci!
d83e9b88-ebe1-4dab-a0f6-70cf26671505	pudelek	Magda Gessler NIE WPUŚCI do swoich restauracji osób niezaszczepionych? "Tak jest w Austrii, Szwajcarii"
d83d14c8-32d6-4cc6-a553-af9f3639446e	tvpsport	Już dziś finał Pucharu Polski. O której i gdzie mecz o trofeum?
d71d1ac0-102b-4532-8bff-f01b6eec3885	wyborcza	Raport NIK. Ziobro ucieka przed pytaniami. Wójcik atakuje Banasia
d621cb1d-eed3-4ada-8647-69f63aaf62c2	pudelek	Ewa Farna pozdrawia ze studia nagraniowego i prezentuje płaski brzuch 
d609f2e8-b200-437b-a547-dd49b533ec50	o2	Niecodzienny uciekinier. Złapano go w Karkonoszach po 4 miesiącach
d5d53eed-12ce-417d-8238-8ab6940d709c	tvpsport	Żyła zagrał dla... Francji! Ustalił wynik meczu
d4bdc6ff-a7f4-4faf-bca8-9a483bcdae82	pudelek	Tajne wesele Koroniewskiej i Dowbora!
d49f3ec8-c2c3-48ba-8fdc-bd3b0c99e04f	pudelek	Kukiz chce zalegalizować... picie piwa w plenerze!
d47c9634-8d96-4c58-ae4f-8d70728405a4	pudelek	Julia Wróblewska pozuje bez stanika i reaguje na OBRZYDLIWE komentarze.
d4589750-c622-4174-8be8-00ff22422e70	pudelek	Rolnik szuka żony. Elżbieta ostro o Marku: "Nie szukał miłości TYLKO LOKUM!"
d41b4c49-7574-4978-94f2-f1c11bf89f28	pudelek	Ekskluzywny Menel WYDAJE KSIĄŻKĘ! "Zmienił wizerunek współczesnego mężczyzny!"
d37b8ff0-ff34-49d5-9238-1752fe6f2b30	pudelek	SŁOŃCE CZY BRUD?
d35eead7-cd47-4d62-afb2-adbee6ad2de6	pudelek	Mateusz Damięcki po raz drugi ZOSTAŁ OJCEM! Znamy płeć i imię dziecka!
